4,0
4,1
8,9
2,9
3,8
-8,1
9,5
-3,6
5,6
3,8
0,2
-2,3
0,6
-9,2
-2,8
-4,8
9,5
-8
-2,1
2,6
-2,5
8,2
-0,8
1,5
-1,8
0,4
-4,5
-5,2
5,9
-4,5
-6
-4,3
6,6
-3
-4,3
7,2
5,2
6,5
0,6
-4,4
-6,9
-6,4
8,3
-9,6
-2
-4,1
5,7
-9
6,4
-8
-9,2
-6,8
1,6
2,5
0,8
-4,7
5,4
-2,6
1,8
1,7
9,9
-4,2
2,8
-8,5
2,5
8,2
-9
-9,8
9,1
-0,7
9,6
3,4
-2,5
-1,9
-0,9
-1,5
-1,5
-5,2
5,1
7,3
-4,1
8,1
-9,8
-4,1
8,1
-9,8
-4,1
-8,1
8,0
-8,1
3,5
9,5
6,2
-9
2,4
-5,6
